#
# Lista de municipios de las 32 entidades federativas
# Fuente: Instituto Nacional de Estadística y Geografía (INEGI)
# Enlace: http://www.inegi.org.mx/geo/contenidos/geoestadistica/catalogoclaves.aspx
#

#
# Palabras y letras removidas: "de", "del", "el", "gran", "la", "las", "los", "san", "santa", "santo", "y"
#

#
Lagos				#San Juan de los Lagos
Julián				#San Julián
Marcos				#San Marcos
Bolaños				#San Martín de Bolaños
Martín				#San Martín Hidalgo
Alto				#San Miguel el Alto
Farías				#Gómez Farías
Sebastián			#San Sebastián del Oeste
Oeste				#San Sebastián del Oeste
Ángeles				#Santa María de los Ángeles
Sayula				#Sayula
Tala				#Tala
Talpa				#Talpa de Allende
Allende				#Talpa de Allende
Tamazula			#Tamazula de Gordiano
Gordiano			#Tamazula de Gordiano
Tapalpa				#Tapalpa
Tecalitlán			#Tecalitlán
Tecolotlán			#Tecolotlán
Techaluta			#Techaluta de Montenegro
Montenegro			#Techaluta de Montenegro
Tenamaxtlán			#Tenamaxtlán
Teocaltiche			#Teocaltiche
Teocuitatlán			#Teocuitatlán de Corona
Tepatitlán			#Tepatitlán de Morelos
Tequila				#Tequila
Teuchitlán			#Teuchitlán
Tizapán				#Tizapán el Alto
Tlajomulco			#Tlajomulco de Zúñiga
Zúñiga				#Tlajomulco de Zúñiga
Tlaquepaque			#San Pedro Tlaquepaque
Tolimán				#Tolimán
Tomatlán			#Tomatlán
Tonalá				#Tonalá
Tonaya				#Tonaya
Tonila				#Tonila
Totatiche			#Totatiche
Tototlán			#Tototlán
Tuxcacuesco			#Tuxcacuesco
Tuxcueca			#Tuxcueca
Tuxpan				#Tuxpan
Antonio				#Unión de San Antonio
Tula				#Unión de Tula
Guadalupe			#Valle de Guadalupe
Juárez				#Valle de Juárez
Gabriel				#San Gabriel
Corona				#Villa Corona
Guerrero			#Villa Guerrero
Hidalgo				#Villa Hidalgo
Cañadas				#Cañadas de Obregón
Obregón				#Cañadas de Obregón
Yahualica			#Yahualica de González Gallo
Gallo				#Yahualica de González Gallo
Zacoalco			#Zacoalco de Torres
Torres				#Zacoalco de Torres
Zapopan				#Zapopan
Zapotiltic			#Zapotiltic
Zapotitlán			#Zapotitlán de Vadillo
Vadillo				#Zapotitlán de Vadillo
Zapotlán			#Zapotlán del Rey
Rey				#Zapotlán del Rey
Zapotlanejo			#Zapotlanejo
Gordo				#San Ignacio Cerro Gordo

#
# [15] México
#

Acambay				#Acambay de Ruíz Castañeda
Ruíz				#Acambay de Ruíz Castañeda
Castañeda			#Acambay de Ruíz Castañeda
Acolman				#Acolman
Aculco				#Aculco
Almoloya			#Almoloya de Alquisiras
Alquisiras			#Almoloya de Alquisiras
Juárez				#Almoloya de Juárez
Río				#Almoloya del Río
Amanalco			#Amanalco
Amatepec			#Amatepec
Amecameca			#Amecameca
Apaxco				#Apaxco
Atenco				#Atenco
Atizapán			#Atizapán
Zaragoza			#Atizapán de Zaragoza
Atlacomulco			#Atlacomulco
Atlautla			#Atlautla
Axapusco			#Axapusco
Ayapango			#Ayapango
Calimaya			#Calimaya
Capulhuac			#Capulhuac
Coacalco			#Coacalco de Berriozábal
Berriozábal			#Coacalco de Berriozábal
Coatepec			#Coatepec Harinas
Harinas				#Coatepec Harinas
Cocotitlán			#Cocotitlán
Coyotepec			#Coyotepec
Cuautitlán			#Cuautitlán
Chalco				#Chalco
Chapa				#Chapa de Mota
Mota				#Chapa de Mota
Chapultepec			#Chapultepec
Chiautla			#Chiautla
Chicoloapan			#Chicoloapan
Chiconcuac			#Chiconcuac
Chimalhuacán			#Chimalhuacán
Donato				#Donato Guerra
Guerra				#Donato Guerra
Ecatepec			#Ecatepec de Morelos
Ecatzingo			#Ecatzingo
Huehuetoca			#Huehuetoca
Hueypoxtla			#Hueypoxtla
Huixquilucan			#Huixquilucan
Isidro				#Isidro Fabela
Fabela				#Isidro Fabela
Ixtapaluca			#Ixtapaluca
Ixtapan				#Ixtapan de la Sal
